  #Trial   size   ijk        ikj       jik       kij        jki       kji
     1      10    0.007     0.007     0.008     0.007      0.007    0.007
     2      20    0.035     0.046     0.048     0.049      0.041    0.029
     3      30    0.110     0.111     0.112     0.113      0.120    0.107
     4      40    0.225     0.218     0.229     0.223      0.222    0.231
     5      50    0.399     0.400     0.400     0.391      0.402    0.401
     6      60    0.646     0.664     0.669     0.657      0.668    0.654
     7      70    1.031     1.024     1.018     1.016      1.077    1.078
     8      80    1.513     1.508     1.513     1.503      1.657    1.688
     9      90    2.217     2.162     2.221     2.110      2.325    2.313
    10      99    2.850     2.816     2.818     2.830      3.060    3.061
    11     200   25.034    24.916    25.571    22.653     28.217   26.957
    12     300   87.850    76.796    87.055    77.396    112.858   104.543
 Average         10.1597   9.2198   10.1385    9.079     12.5545   11.75575
